match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
7133471,39,61,13,11,4,3,3,5,17,16,346,559,14,15,3,3,3,5,1,0,9,2,1,4,4,4,9,8,1,1,275,475,15,22,54,46,47,40,13,11,5,11,0,2,,
7133475,50,50,10,17,3,2,5,6,19,17,382,382,15,19,2,4,3,8,0,1,3,9,4,0,4,10,6,7,0,3,313,321,20,14,46,54,42,41,5,14,9,6,0,1,,
7133478,53,47,13,8,2,4,4,4,23,26,411,361,26,23,2,3,4,2,0,0,4,3,5,3,9,4,4,4,2,1,324,272,21,22,56,44,61,42,16,18,5,9,,,,
7133485,58,42,20,11,1,2,10,4,21,21,379,281,20,18,4,3,4,3,0,0,8,2,8,6,9,4,11,7,,,293,194,25,13,52,48,47,44,14,13,4,12,0,1,,
7133479,52,48,15,6,1,2,7,4,21,20,320,302,20,20,6,2,3,1,0,0,8,2,4,3,12,4,3,2,,,210,174,35,30,57,43,32,38,31,10,6,9,,,,
7133487,56,44,17,15,5,5,8,8,18,14,444,356,14,15,2,3,7,7,1,0,6,3,4,5,12,10,5,5,2,0,360,266,18,13,49,51,43,43,10,12,3,13,,,,
7133480,37,63,5,13,5,1,3,9,18,19,264,424,17,17,5,2,3,6,1,0,0,5,2,2,3,8,2,5,2,2,177,341,20,37,52,48,40,37,15,13,15,3,,,,
7133484,45,55,8,15,6,2,4,5,21,10,311,377,10,18,4,1,3,6,1,0,3,8,2,1,7,9,1,6,3,5,213,290,27,30,37,63,34,55,14,26,8,4,,,1,0
7133486,52,48,16,10,2,3,4,3,14,15,425,396,14,12,1,6,5,3,0,0,5,4,6,3,10,2,6,8,2,1,332,292,24,23,64,36,57,32,18,10,5,10,,,,
7133483,63,37,10,8,1,2,5,3,16,25,504,289,23,15,1,2,4,1,0,0,5,4,1,3,6,4,4,4,3,0,410,193,23,19,58,42,48,34,16,13,7,12,,,0,1
7133481,48,52,14,12,4,4,1,3,12,14,432,454,14,11,2,6,7,7,0,2,5,4,2,1,7,9,7,3,4,2,336,360,22,22,52,48,36,42,15,5,7,7,0,1,,
