match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_accuratethroughball,away_accuratethroughball,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks
6802099,54,46,14,4,2,3,6,1,0,0,414,356,14,19,4,4,0,1,5,2,0,0,7,2,2,0,7,1,7,3,1,0,1,1,339,272,24,21,51,49,45,48,13,7,5,9
6802123,48,52,12,13,5,1,2,1,0,0,485,519,14,16,2,1,,,4,5,0,0,5,6,3,2,8,6,4,7,2,0,4,1,403,445,17,21,60,40,37,29,14,5,12,7
6802119,35,65,7,10,1,2,6,9,0,0,295,547,15,12,1,3,1,0,2,3,0,0,5,5,0,2,1,4,6,6,,,2,1,206,454,30,15,46,54,45,52,13,15,7,5
6802110,51,49,19,8,0,7,5,4,0,0,395,367,9,22,4,1,,,10,2,1,0,7,3,2,3,16,6,3,2,4,0,2,1,295,254,36,25,44,56,34,54,19,14,4,11
6802124,51,49,21,5,1,6,10,3,0,0,426,430,13,15,0,2,,,7,3,0,0,10,2,4,0,9,3,12,2,0,1,1,2,344,330,17,24,47,53,44,52,10,9,7,14
6802117,57,43,17,7,2,3,2,5,0,0,441,317,24,20,3,2,,,5,2,0,1,8,3,4,2,9,4,8,3,,,1,0,323,200,33,20,48,52,47,53,17,15,4,15
6802116,43,57,11,12,3,5,6,7,0,0,276,355,16,21,2,3,0,1,7,5,0,2,2,5,2,2,8,4,3,8,,,1,1,182,260,21,23,50,50,49,40,13,23,9,4
6802125,44,56,6,13,4,2,6,5,0,0,312,390,14,19,2,3,,,5,4,0,3,1,7,0,2,4,4,2,9,1,2,3,0,214,301,24,22,51,49,39,40,17,13,9,5
6802120,51,49,12,12,2,1,6,6,0,0,462,440,17,18,4,3,,,2,2,1,0,7,7,3,3,9,4,3,8,,,0,2,341,319,22,27,46,54,34,39,11,13,7,5
6802112,47,53,11,7,2,4,3,2,0,0,445,492,10,16,4,6,0,1,7,3,0,0,2,2,2,2,6,3,5,4,,,2,4,343,403,27,22,53,47,32,37,16,6,3,2
6802127,63,37,12,12,5,1,3,3,0,0,550,315,18,15,0,1,,,1,9,0,0,7,2,4,1,5,6,7,6,0,1,1,5,436,224,28,24,49,51,47,43,11,17,6,11
6802114,44,56,14,13,2,0,2,5,0,0,323,401,18,16,0,2,,,3,3,0,0,7,6,4,4,8,6,6,7,1,1,3,0,230,290,25,31,54,46,44,36,24,22,6,7
6802136,57,43,16,11,3,4,8,4,0,0,429,329,15,14,1,4,0,1,5,6,0,1,7,5,4,0,8,4,8,7,,,4,0,328,220,20,16,55,45,43,44,25,11,5,13
6802109,52,48,15,20,8,5,4,6,0,0,421,375,23,12,1,6,1,0,8,10,1,1,5,7,2,3,7,12,8,8,1,2,1,4,350,297,17,14,49,51,45,47,11,11,8,7
6802126,41,59,11,29,14,4,5,15,0,0,359,471,14,12,2,3,,,7,13,0,0,4,8,0,8,6,18,5,11,3,0,1,0,260,398,13,27,44,56,36,38,7,17,8,4
6802142,47,53,16,11,2,4,5,4,0,0,394,437,23,12,5,4,1,0,7,4,0,0,7,5,2,2,8,5,8,6,0,2,0,1,309,349,12,33,55,45,40,29,10,12,7,7
