match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
8915412,51,49,5,3,17,13,2,3,3,7,16,12,400,376,20,12,12,14,2,2,6,4,0,1,6,7,5,2,11,10,6,3,3,2,2,1,4,7,0,1,284,269,23,24,66,67,20,22,3,5,54,46,6,11,44,42,29,19,14,17,12,7,16,15,27,21,10,11,0,1,,
8915413,44,56,3,4,7,13,2,2,1,4,17,9,376,482,9,18,9,17,1,7,5,3,0,0,1,6,1,4,7,9,0,4,2,0,1,4,2,4,1,3,295,401,14,16,49,64,30,25,3,5,39,61,3,5,28,46,8,10,10,11,6,12,10,7,13,13,14,1,,,0,2
8915462,46,54,,,18,11,4,5,4,4,6,10,442,523,16,18,10,6,0,3,6,4,0,0,9,4,3,3,10,4,8,7,,,,,3,1,3,1,372,456,20,20,54,61,42,22,4,3,43,57,13,10,28,38,8,10,2,14,8,10,17,8,10,6,10,10,,,,
8915303,50,50,3,2,13,12,3,4,3,4,18,16,399,400,18,11,16,15,3,5,7,5,0,0,3,4,3,3,5,9,8,3,1,1,2,1,5,5,2,2,319,309,19,22,48,56,24,27,2,5,54,46,9,14,43,35,18,16,10,9,13,7,13,9,17,9,6,9,,,,
8915446,65,35,1,3,20,10,3,6,9,2,15,15,538,309,20,15,14,15,3,2,6,6,1,0,9,2,5,2,10,8,10,2,0,1,1,2,2,2,,,454,218,21,14,65,44,28,35,9,3,49,51,8,14,42,43,15,16,9,14,14,9,14,16,5,30,5,17,0,1,,
8915429,41,59,5,1,11,8,1,2,4,2,8,15,340,520,6,15,14,8,5,3,5,4,1,0,4,3,2,1,9,7,2,1,4,1,1,0,7,1,1,5,268,445,19,15,65,53,38,38,5,2,43,57,8,5,24,32,10,14,4,9,2,8,8,6,9,20,4,8,2,1,1,0
8915307,52,48,1,3,14,11,3,4,6,8,16,14,343,336,14,18,14,15,2,1,4,4,0,0,9,5,1,2,9,8,5,3,0,1,1,2,3,4,1,1,274,255,21,18,42,58,26,37,6,4,50,50,9,11,35,40,17,11,8,8,10,12,14,18,15,23,10,12,,,,
8915311,43,57,1,3,20,10,3,4,6,4,13,17,344,460,18,13,16,11,5,3,6,3,1,0,8,7,6,0,10,4,10,6,1,1,0,2,8,2,2,2,266,370,23,26,47,42,29,29,7,4,55,45,7,4,47,37,19,16,13,13,12,4,9,11,17,17,10,10,,,1,0
8915396,62,38,3,2,19,9,1,5,4,4,14,8,513,306,13,18,8,14,2,1,6,3,1,0,7,5,6,1,12,5,7,4,1,2,2,0,1,3,2,0,432,220,28,15,70,60,41,34,8,3,48,52,8,7,38,37,14,20,17,5,8,12,11,13,17,28,9,13,1,0,,
8915403,47,53,1,1,9,12,5,2,4,8,10,11,434,501,10,13,11,9,1,0,2,5,0,0,6,6,1,1,6,6,3,6,,,1,1,3,3,0,1,356,429,17,25,54,50,34,30,3,4,42,58,9,7,25,31,9,16,4,9,8,6,8,11,14,15,7,9,,,,
8915440,40,60,3,2,7,15,0,2,4,8,11,22,371,538,13,11,17,11,7,4,4,1,0,0,2,8,1,6,5,9,2,6,2,1,1,1,3,5,3,0,280,470,19,11,48,63,35,25,2,6,51,49,4,7,37,35,18,18,8,13,9,4,8,11,30,17,12,7,,,1,1
8915411,55,45,3,4,8,13,2,2,2,3,18,14,411,350,16,12,13,17,3,2,2,3,2,0,6,9,0,1,7,7,1,6,0,1,3,3,2,5,2,3,322,264,18,18,61,49,27,24,3,2,42,58,3,9,36,39,9,22,7,10,10,5,14,17,8,14,11,7,1,0,,
