match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards,home_bigchancecreated,away_bigchancecreated,home_totaltackle,away_totaltackle,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_dispossessed,away_dispossessed,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance
7479891,54,46,16,15,4,6,5,4,17,13,497,421,13,16,3,2,9,5,1,1,5,6,2,4,11,8,5,7,3,5,408,349,21,17,48,52,39,48,17,13,6,9,3,0,,,4,1,18,18,1,0,3,1,3,4,56,52,28,26,6,2,5,14,10,15,13,10,10,18,70,62,12,22
7479879,41,59,13,7,2,1,0,5,12,26,310,440,26,10,3,3,3,3,0,0,5,2,5,2,6,5,7,2,,,216,327,23,28,59,41,44,34,26,15,5,6,,,1,0,1,2,10,19,1,1,0,1,3,1,61,65,28,39,3,3,14,6,10,7,9,11,14,7,63,68,35,23
7479884,54,46,16,8,2,1,5,3,14,19,430,379,18,13,1,3,4,3,1,0,9,4,3,1,7,2,9,6,0,3,329,290,25,17,55,45,53,49,18,9,5,11,,,,,0,1,22,25,0,1,,,4,2,58,49,38,34,4,1,21,18,14,11,14,15,9,15,72,72,12,24
7479885,62,38,14,5,0,2,2,1,11,24,551,334,23,10,1,7,3,1,0,0,8,2,3,2,5,3,9,2,0,1,420,210,31,21,53,47,40,43,37,25,8,10,1,0,0,2,1,0,10,23,,,1,0,6,2,100,54,52,20,3,1,12,5,8,11,8,18,30,8,73,80,13,29
7479889,63,37,23,11,1,7,6,6,12,10,556,327,10,10,0,1,9,1,0,0,11,6,3,4,17,6,6,5,1,2,475,251,22,14,63,37,43,32,27,10,13,14,3,0,,,8,1,18,11,2,0,6,1,1,5,64,46,42,24,9,3,5,14,16,11,13,7,6,10,54,58,20,22
7479882,50,50,12,14,5,0,7,6,17,19,367,364,18,16,4,2,1,5,0,1,10,5,1,4,9,12,3,2,3,1,283,271,15,25,53,47,41,43,32,22,8,13,,,,,2,0,17,20,1,0,1,0,5,4,52,48,40,19,4,6,13,12,8,8,11,12,10,13,63,42,25,12
7479883,65,35,17,2,0,5,11,0,16,15,521,304,14,13,3,4,6,1,0,0,6,1,5,0,7,1,10,1,4,1,408,205,35,19,48,52,31,36,22,21,2,7,,,,,4,0,11,19,1,0,3,0,3,1,68,56,36,25,6,1,11,9,6,6,8,14,7,28,65,63,9,43
7479887,49,51,11,13,5,1,2,11,15,21,365,360,18,12,2,3,2,6,0,0,7,6,2,1,7,11,4,2,5,0,251,252,23,31,54,46,41,38,35,28,11,9,1,2,,,2,1,17,14,1,0,1,1,2,5,47,70,34,23,4,6,11,10,9,12,11,7,13,14,64,58,35,20
7479875,71,29,23,4,2,6,5,0,7,6,901,365,5,7,0,1,11,2,0,0,7,2,5,0,14,1,9,3,2,0,825,285,19,15,57,43,37,32,7,1,4,7,2,0,,,4,0,25,16,3,0,1,0,3,1,83,37,40,19,5,2,11,22,7,9,12,10,14,10,76,68,9,18
7479899,40,60,8,14,7,4,6,6,23,15,263,402,15,23,4,2,5,9,0,0,2,4,1,1,3,7,5,7,2,1,171,288,27,19,46,54,43,48,22,28,6,4,1,0,,,1,3,14,22,1,1,0,2,6,2,49,59,16,28,3,7,15,7,15,4,8,16,12,11,66,68,37,17
